(TimeSpec {sec = 357513, nsec = 798034674},Note 0 69 76)
(TimeSpec {sec = 357514, nsec = 139138280},Note 0 74 75)
(TimeSpec {sec = 357514, nsec = 212862969},Note 0 69 0)
(TimeSpec {sec = 357514, nsec = 492697577},Note 0 76 67)
(TimeSpec {sec = 357514, nsec = 620612600},Note 0 74 0)
(TimeSpec {sec = 357514, nsec = 888258014},Note 0 78 89)
(TimeSpec {sec = 357514, nsec = 918412508},Note 0 76 0)
(TimeSpec {sec = 357515, nsec = 273251513},Note 0 76 82)
(TimeSpec {sec = 357515, nsec = 297363096},Note 0 78 0)
(TimeSpec {sec = 357515, nsec = 913204502},Note 0 74 74)
(TimeSpec {sec = 357515, nsec = 964688430},Note 0 76 0)
(TimeSpec {sec = 357516, nsec = 115830711},Note 0 74 0)
(TimeSpec {sec = 357516, nsec = 298344869},Note 0 74 93)
(TimeSpec {sec = 357517, nsec = 222299985},Note 0 74 0)
(TimeSpec {sec = 357518, nsec = 853754011},Note 0 69 66)
(TimeSpec {sec = 357519, nsec = 169665646},Note 0 74 92)
(TimeSpec {sec = 357519, nsec = 218051274},Note 0 69 0)
(TimeSpec {sec = 357519, nsec = 489847768},Note 0 76 63)
(TimeSpec {sec = 357519, nsec = 572717945},Note 0 74 0)
(TimeSpec {sec = 357519, nsec = 857464497},Note 0 78 87)
(TimeSpec {sec = 357519, nsec = 902590093},Note 0 76 0)
(TimeSpec {sec = 357520, nsec = 226365076},Note 0 76 73)
(TimeSpec {sec = 357520, nsec = 260057377},Note 0 78 0)
(TimeSpec {sec = 357520, nsec = 862336281},Note 0 74 92)
(TimeSpec {sec = 357520, nsec = 892760502},Note 0 76 0)
(TimeSpec {sec = 357521, nsec = 212639600},Note 0 76 85)
(TimeSpec {sec = 357521, nsec = 281478066},Note 0 74 0)
(TimeSpec {sec = 357521, nsec = 837478220},Note 0 78 77)
(TimeSpec {sec = 357521, nsec = 908254526},Note 0 76 0)
(TimeSpec {sec = 357522, nsec = 157889145},Note 0 78 0)
(TimeSpec {sec = 357522, nsec = 525628051},Note 0 78 76)
(TimeSpec {sec = 357523, nsec = 805592642},Note 0 69 60)
(TimeSpec {sec = 357523, nsec = 832499942},Note 0 78 0)
(TimeSpec {sec = 357524, nsec = 141655129},Note 0 74 79)
(TimeSpec {sec = 357524, nsec = 190121100},Note 0 69 0)
(TimeSpec {sec = 357524, nsec = 444961505},Note 0 76 63)
(TimeSpec {sec = 357524, nsec = 539881601},Note 0 74 0)
(TimeSpec {sec = 357524, nsec = 817894901},Note 0 78 89)
(TimeSpec {sec = 357524, nsec = 866791150},Note 0 76 0)
(TimeSpec {sec = 357525, nsec = 185924808},Note 0 76 82)
(TimeSpec {sec = 357525, nsec = 221548456},Note 0 78 0)
(TimeSpec {sec = 357525, nsec = 819734958},Note 0 74 76)
(TimeSpec {sec = 357525, nsec = 869181252},Note 0 76 0)
(TimeSpec {sec = 357526, nsec = 34687653},Note 0 74 0)
(TimeSpec {sec = 357526, nsec = 168350055},Note 0 74 86)
(TimeSpec {sec = 357526, nsec = 976573130},Note 0 74 0)
(TimeSpec {sec = 357528, nsec = 657158137},Note 0 69 72)
(TimeSpec {sec = 357528, nsec = 998997029},Note 0 74 77)
(TimeSpec {sec = 357529, nsec = 46757346},Note 0 69 0)
(TimeSpec {sec = 357529, nsec = 322829037},Note 0 76 70)
(TimeSpec {sec = 357529, nsec = 420134857},Note 0 74 0)
(TimeSpec {sec = 357529, nsec = 687928231},Note 0 78 85)
(TimeSpec {sec = 357529, nsec = 713041030},Note 0 76 0)
(TimeSpec {sec = 357530, nsec = 56104729},Note 0 76 79)
(TimeSpec {sec = 357530, nsec = 86275111},Note 0 78 0)
(TimeSpec {sec = 357530, nsec = 718868146},Note 0 74 83)
(TimeSpec {sec = 357530, nsec = 755190851},Note 0 76 0)
(TimeSpec {sec = 357531, nsec = 66721154},Note 0 76 83)
(TimeSpec {sec = 357531, nsec = 142086056},Note 0 74 0)
(TimeSpec {sec = 357531, nsec = 733070118},Note 0 81 75)
(TimeSpec {sec = 357531, nsec = 778250938},Note 0 76 0)
(TimeSpec {sec = 357532, nsec = 409052073},Note 0 78 80)
(TimeSpec {sec = 357532, nsec = 475477538},Note 0 81 0)
(TimeSpec {sec = 357533, nsec = 252583655},Note 0 78 0)
(TimeSpec {sec = 357533, nsec = 852090193},Note 0 78 78)
(TimeSpec {sec = 357533, nsec = 860320574},Note 0 66 79)
(TimeSpec {sec = 357534, nsec = 207977069},Note 0 78 0)
(TimeSpec {sec = 357534, nsec = 233992663},Note 0 66 0)
(TimeSpec {sec = 357534, nsec = 580577831},Note 0 79 56)
(TimeSpec {sec = 357534, nsec = 592985826},Note 0 67 65)
(TimeSpec {sec = 357534, nsec = 977904635},Note 0 67 0)
(TimeSpec {sec = 357534, nsec = 997030422},Note 0 79 0)
(TimeSpec {sec = 357535, nsec = 752105553},Note 0 81 5)
(TimeSpec {sec = 357535, nsec = 762022756},Note 0 73 76)
(TimeSpec {sec = 357535, nsec = 782394591},Note 0 76 53)
(TimeSpec {sec = 357536, nsec = 147280915},Note 0 76 0)
(TimeSpec {sec = 357536, nsec = 148348248},Note 0 73 0)
(TimeSpec {sec = 357536, nsec = 209618069},Note 0 81 0)
(TimeSpec {sec = 357536, nsec = 411456303},Note 0 81 17)
(TimeSpec {sec = 357536, nsec = 426097848},Note 0 73 82)
(TimeSpec {sec = 357536, nsec = 437680554},Note 0 76 73)
(TimeSpec {sec = 357536, nsec = 631937219},Note 0 76 0)
(TimeSpec {sec = 357536, nsec = 644309949},Note 0 73 0)
(TimeSpec {sec = 357536, nsec = 675665887},Note 0 81 0)
(TimeSpec {sec = 357536, nsec = 802335485},Note 0 81 83)
(TimeSpec {sec = 357536, nsec = 811670804},Note 0 76 89)
(TimeSpec {sec = 357536, nsec = 812732541},Note 0 73 98)
(TimeSpec {sec = 357537, nsec = 192351632},Note 0 76 0)
(TimeSpec {sec = 357537, nsec = 203181543},Note 0 73 0)
(TimeSpec {sec = 357537, nsec = 286066987},Note 0 81 0)
(TimeSpec {sec = 357537, nsec = 628874326},Note 0 81 45)
(TimeSpec {sec = 357537, nsec = 642618615},Note 0 73 79)
(TimeSpec {sec = 357537, nsec = 647935951},Note 0 76 69)
(TimeSpec {sec = 357537, nsec = 957162811},Note 0 73 0)
(TimeSpec {sec = 357537, nsec = 962105651},Note 0 76 0)
(TimeSpec {sec = 357538, nsec = 53690152},Note 0 81 0)
(TimeSpec {sec = 357538, nsec = 819824482},Note 0 81 30)
(TimeSpec {sec = 357538, nsec = 838908201},Note 0 71 80)
(TimeSpec {sec = 357538, nsec = 840241399},Note 0 74 81)
(TimeSpec {sec = 357539, nsec = 296594123},Note 0 74 0)
(TimeSpec {sec = 357539, nsec = 351472461},Note 0 71 0)
(TimeSpec {sec = 357539, nsec = 364491136},Note 0 81 0)
(TimeSpec {sec = 357539, nsec = 499138193},Note 0 78 78)
(TimeSpec {sec = 357539, nsec = 854380056},Note 0 74 73)
(TimeSpec {sec = 357539, nsec = 888114323},Note 0 78 0)
(TimeSpec {sec = 357540, nsec = 305120099},Note 0 74 0)
(TimeSpec {sec = 357541, nsec = 52340023},Note 0 78 98)
(TimeSpec {sec = 357541, nsec = 379645209},Note 0 79 40)
(TimeSpec {sec = 357541, nsec = 461089612},Note 0 78 0)
(TimeSpec {sec = 357541, nsec = 675732920},Note 0 79 0)
(TimeSpec {sec = 357542, nsec = 654894177},Note 0 81 36)
(TimeSpec {sec = 357542, nsec = 657734335},Note 0 78 66)
(TimeSpec {sec = 357542, nsec = 661891549},Note 0 73 81)
(TimeSpec {sec = 357543, nsec = 34450394},Note 0 78 0)
(TimeSpec {sec = 357543, nsec = 48844722},Note 0 81 0)
(TimeSpec {sec = 357543, nsec = 56922168},Note 0 73 0)
(TimeSpec {sec = 357543, nsec = 280692219},Note 0 81 42)
(TimeSpec {sec = 357543, nsec = 299794048},Note 0 73 77)
(TimeSpec {sec = 357543, nsec = 303248429},Note 0 78 79)
(TimeSpec {sec = 357543, nsec = 517481375},Note 0 78 0)
(TimeSpec {sec = 357543, nsec = 517485172},Note 0 73 0)
(TimeSpec {sec = 357543, nsec = 560550927},Note 0 81 0)
(TimeSpec {sec = 357543, nsec = 674427448},Note 0 81 63)
(TimeSpec {sec = 357543, nsec = 677458979},Note 0 78 71)
(TimeSpec {sec = 357543, nsec = 679999678},Note 0 73 74)
(TimeSpec {sec = 357544, nsec = 42108006},Note 0 73 0)
(TimeSpec {sec = 357544, nsec = 46616693},Note 0 78 0)
(TimeSpec {sec = 357544, nsec = 85061561},Note 0 81 0)
(TimeSpec {sec = 357544, nsec = 585820781},Note 0 81 22)
(TimeSpec {sec = 357544, nsec = 592044177},Note 0 78 76)
